date,Gross_Private_Investment_real
1947-01-01,2634.057691238152
1947-04-01,2432.297417284872
1947-07-01,2360.731984021196
1947-10-01,2817.5498856929626
1948-01-01,2885.2754114784775
1948-04-01,3063.8315133499686
1948-07-01,3095.2236267623202
1948-10-01,2947.2091660948217
1949-01-01,2531.9500754786322
1949-04-01,2195.360589737846
1949-07-01,2377.3704925378884
1949-10-01,2260.4410077631164
1950-01-01,2767.6292013818183
1950-04-01,3063.808588768831
1950-07-01,3327.177169402598
1950-10-01,3749.9524826493507
1951-01-01,3119.0855488128855
1951-04-01,3191.390417893352
1951-07-01,2956.4070680409395
1951-10-01,2720.845677884369
1952-01-01,2729.4828574968633
1952-04-01,2523.6974080614805
1952-07-01,2658.9876999843164
1952-10-01,2850.518219849436
1953-01-01,2889.9171030539815
1953-04-01,2906.35648198431
1953-07-01,2845.5694608336967
1953-10-01,2639.9515113068924
1954-01-01,2611.5958062814075
1954-04-01,2605.4387683417085
1954-07-01,2731.1714570351764
1954-10-01,2850.949451758794
1955-01-01,3143.8668819716995
1955-04-01,3335.0731712486395
1955-07-01,3386.2534329870937
1955-10-01,3464.7723396330275
1956-01-01,3316.945799687395
1956-04-01,3290.8420588494896
1956-07-01,3261.3777707775293
1956-10-01,3231.132845671029
1957-01-01,3076.592971463718
1957-04-01,3073.4716020334363
1957-07-01,3143.937207490515
1957-10-01,2902.183001704411
1958-01-01,2634.4803638745425
1958-04-01,2581.40212566004
1958-07-01,2779.517859785902
1958-10-01,3016.5056505035063
1959-01-01,3151.504375317324
1959-04-01,3396.6492066895366
1959-07-01,3177.29226890223
1959-10-01,3280.692486843911
1960-01-01,3557.4050934848747
1960-04-01,3225.840494997465
1960-07-01,3217.642156726382
1960-10-01,2861.193807926314
1961-01-01,2904.355455169723
1961-04-01,3107.8618696728167
1961-07-01,3349.4759597179645
1961-10-01,3404.897436051502
1962-01-01,3546.7629969645213
1962-04-01,3518.792543678382
1962-07-01,3578.5837726669233
1962-10-01,3473.880671760687
1963-01-01,3611.2996666322088
1963-04-01,3668.7436727856366
1963-07-01,3781.696604567465
1963-10-01,3827.6146289036997
1964-01-01,3919.0563173011874
1964-04-01,3904.936912755733
1964-07-01,3996.0833819094673
