id,indicator_name,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12
1,Gross Domestic Product,29016.7,…,…,…,29374.9,…,…,…,29719.6,,NIPA,....
2,Personal consumption expenditures 1,19682.7,19866.3,19905,20044.1,19938.4,20133,20242.7,20412.5,20262.7,,NIPA,....
3,Goods,6204.6,6267.2,6229.2,6298.9,6265.1,6292.7,6343.1,6421.7,6352.5,,NIPA,....
4,Domestic new autos,29.6,28,29,27.6,28.2,28,28.2,27.5,27.9,,NIPA,....
5,Unit sales (millions of units at annual rates),2,2,2,2.1,2,2.1,2,1.9,2,,Wards Intelligence,Federal Reserve Board
6,Average unit value (dollars),29375,30169,30447,30875,30501,30274,30390,30936,30527,,JD Power,BEA
7,Consumer share of new auto purchases (percent),51.39,49.3,51.01,47.18,49.16,48.83,50.06,49.81,49.57,,IHS Markit Polk-BEA,BEA
8,Foreign new autos,19.9,21.3,22.3,20.4,21.3,21.8,22.3,24.8,22.9,,NIPA,....
9,Unit sales (millions of units at annual rates),0.9,0.9,0.9,1,0.9,1,1.1,1.1,1.1,,Wards Intelligence,Federal Reserve Board
10,Average unit value (dollars),41758,41972,41509,39031,40833,38140,37233,40641,38692,,JD Power,BEA
11,Consumer share of new auto purchases (percent),51.39,49.3,51.01,47.18,49.16,48.83,50.06,49.81,49.57,,IHS Markit Polk-BEA,BEA
12,New light trucks,336.3,346.6,326.2,339.6,337.5,336.7,367.3,376.5,360.2,,NIPA,....
13,Unit sales (millions of units at annual rates),12.7,12.9,12.2,12.7,12.6,13,13.6,13.8,13.5,,Wards Intelligence,Federal Reserve Board
14,Average unit value (dollars),50167,49676,49189,49156,49343,49176,49799,49541,49510,,JD Power,BEA
15,Consumer share of new light truck purchases (percent),52.73,54.18,54.15,54.24,54.19,52.58,54.29,54.96,53.97,,IHS Markit Polk-BEA,BEA
16,Net purchases of used autos and used light trucks,204.4,209.4,207.3,212.3,209.7,212.5,224.7,233.4,223.5,,NIPA,....
17,"Motor vehicle fuels, lubricants, and fluids",430.4,420.7,413.7,399.3,411.2,392.5,391.2,408.7,397.5,,NIPA,....
18,Motor gasoline supplied (millions of barrels per day),8.9,9.1,9,9,9,8.9,8.9,8.9,8.9,,Energy Information Administration,BEA
19,"CPI, motor fuel (1982-84=100)",306.1,294.8,291.1,284.5,290.1,281.6,282.2,293.5,285.8,,Bureau of Labor Statistics,Bureau of Labor Statistics
20,Other goods,5183.9,5241.2,5230.8,5299.7,5257.2,5301.2,5309.4,5350.9,5320.5,,NIPA,....
