2,Personal consumption expenditures,19825.3,19170.2,19424.8,19682.7,19938.4,20255.5,16052.6,15781.4,15856.9,15967.3,16113,16273.2,430.9,145.8,160.2
3,Goods,6243.3,6174.8,6148.9,6204.6,6265.1,6354.8,5450.4,5378.5,5362.8,5402.1,5476.7,5560.1,126.7,74.6,83.4
4,Durable goods,2167.4,2139.3,2127.3,2141.8,2168.4,2232.2,2049.6,2004.5,1995.7,2022.3,2059.8,2120.7,65.4,37.4,61
5,Motor vehicles and parts,728.6,730.7,711.9,715.6,723.2,763.8,582.2,573.7,562.5,571.5,584.0,610.9,-4.8,12.5,26.9
6,Furnishings and durable household equipment,486,479.1,478.3,480.5,489.3,496,437.3,424.5,424.6,432.9,442.9,448.8,18.3,9.9,5.9
7,Recreational goods and vehicles,663,648.2,651.7,658.4,665.3,676.8,770.6,753.7,750.7,760.0,773.1,798.6,46.9,13,25.6
8,Other durable goods,289.8,281.2,285.5,287.4,290.6,295.6,297.9,289.2,296.7,296.4,298.1,300.4,14.9,1.7,2.4
9,Nondurable goods,4075.9,4035.4,4021.5,4062.8,4096.7,4122.6,3410.8,3381.7,3374.5,3388.6,3427.0,3453.1,63.6,38.4,26.1
10,Food and beverages purchased for off-premises consumption,1481.9,1457.6,1464.9,1471.4,1487.3,1503.9,1166.8,1157.2,1156.8,1163.0,1171.1,1176.2,14.7,8,5.1
11,Clothing and footwear,522.7,514.5,517.3,521.2,523.4,528.8,501.9,498.5,502.2,498.2,500.6,506.7,8.1,2.4,6.1
12,Gasoline and other energy goods,439.8,464,443.3,456.2,436.6,423.2,315.9,317.7,310.6,316.3,319.1,317.5,-1.4,2.7,-1.5
13,Other nondurable goods,1631.6,1599.4,1596.2,1614,1649.3,1666.7,1438.3,1419.2,1417.7,1422.0,1447.9,1465.7,45.4,25.9,17.9
14,Services,13582,12995.4,13275.9,13478.1,13673.3,13900.7,10621.9,10423.6,10511.3,10582.7,10656.7,10736.9,303.2,74,80.2
15,Household consumption expenditures (for services),12957.1,12433.4,12688.9,12856.8,13029.8,13253.1,10190.6,10025.3,10097.7,10151.0,10215.7,10298.0,273.1,64.8,82.3
16,Housing and utilities,3552.8,3421.2,3479.7,3534,3575.3,3622.3,2635.4,2617.1,2621.9,2634.2,2639.3,2646.4,24.8,5.1,7.1
17,Health care,3314.2,3148.8,3233.6,3274.3,3344,3405.1,2816.0,2720.9,2767.3,2789.0,2837.5,2870.3,149,48.5,32.8
18,Transportation services,656.5,632,637.6,659.4,654.4,674.6,497.8,486.1,486.8,503.7,498.1,502.6,16.7,-5.6,4.5
19,Recreation services,779.1,754.6,769.1,773.6,778.9,794.8,619.0,611.1,614.9,617.9,618.2,625.0,10.9,0.3,6.7
20,Food services and accommodations,1428.4,1403.4,1409.4,1417.5,1431.5,1455.1,1067.2,1070.4,1063.9,1063.2,1067.1,1074.6,13.6,3.9,7.5
21,Financial services and insurance,1557.7,1459.2,1516.4,1535.8,1572.1,1606.4,1162.4,1139.4,1156.2,1153.9,1165.4,1174.3,30.7,11.5,8.9
22,Other services,1668.4,1614.3,1643.1,1662.2,1673.5,1694.9,1411.0,1392.8,1402.6,1405.5,1409.5,1426.5,35.9,4,17.1
23,Final consumption expenditures of nonprofit institutions serving households,624.8,562,587,621.3,643.5,647.5,432.6,402.4,416.4,432.8,441.3,439.9,28.1,8.5,-1.4
24,Gross output of nonprofit institutions,2219.1,2090.7,2158,2190.4,2253.6,2274.5,1740.3,1679.1,1715.3,1724.8,1759.3,1761.7,79,34.5,2.3
25,Less: Receipts from sales of goods and services by nonprofit institutions,1594.3,1528.7,1571,1569.1,1610.1,1627,1309.2,1280.9,1302.1,1292.9,1318.9,1323.1,49.4,26.1,4.1
26,Gross private domestic investment,5272.9,5102.8,5159.9,5297.8,5345.2,5288.8,4336.1,4244.8,4282.5,4369.2,4377.7,4315.1,166.9,8.6,-62.6
27,Fixed investment,5221,5046.1,5138.5,5201.1,5269.2,5275.1,4257.7,4164.9,4231.4,4255.7,4277.7,4265.9,153.8,22,-11.9
28,Nonresidential,4034.9,3901.5,3957.8,4018.5,4089.4,4073.9,3506.6,3432.9,3471.0,3504.1,3538.8,3512.4,122,34.7,-26.4
29,Structures,913.3,905.8,914.9,916,908.6,913.7,677.0,669.7,679.9,680.2,671.6,676.4,22.7,-8.6,4.8
30,Equipment,1505.9,1443.9,1458.8,1499.7,1548.1,1516.9,1328.4,1294.6,1295.7,1326.5,1361.0,1330.4,43.2,34.5,-30.6
31,Information processing equipment,502,475.3,483.7,495.1,518.4,510.8,517.6,497.7,502.0,511.7,533.3,523.3,26.1,21.6,-10
32,Industrial equipment,326.4,314.5,324,323.2,329.1,329.2,260.5,255.8,260.9,258.2,261.7,261.1,4.5,3.6,-0.7
33,Transportation equipment,349.5,327.6,320.6,349.8,372.4,355.2,306.1,292.4,282.7,308.3,324.1,309.1,15.9,15.8,-14.9
34,Other equipment,327.9,326.6,330.4,331.5,328.2,321.7,252.8,254.7,256.0,255.8,252.4,247.0,0,-3.3,-5.5
35,Intellectual property products,1615.7,1551.7,1584.1,1602.7,1632.8,1643.3,1502.3,1468.3,1495.0,1497.7,1509.2,1507.2,56.4,11.5,-2
36,Software,696.9,660.6,675.2,690.7,707.3,714.5,767.7,741.8,760.9,765.3,769.9,774.6,45.5,4.7,4.7
