4,Durable goods,28.3,33.3,4.3,5.2,-1.6,-5.4,1.1,-1.5,2.5,2.9,4.5,5.8,1.2,2.6,3.5,5.8.1
5,Nondurable goods,6.8,14.2,6.8,6.8,3.4,-0.3,-1,-1.6,-0.3,-0.1,1.3,2.2,1.4,1.9,2.2,2.1
6,Services,-1.7,15,9.2,8.4,7.7,5.4,3.7,3.2,3.5,2.8,2.4,2.8,2.7,2.9,3.1,3
7,Gross private domestic investment,4.5,19.4,4.7,8.1,10.7,10,4.4,-0.5,-4.5,-0.5,3.4,2.2,5.5,5.6,3.3,1.7
8,Fixed investment,4.2,14.6,7,3.8,3.6,2.7,2.8,1.6,0.3,1.9,3,4.4,5.3,3.7,3.6,2.4
9,Nonresidential,0.8,12,6.8,4.9,5.9,5.5,7.9,8.5,6.5,7.1,5.4,5,4.8,3.3,4.1,2.3
10,Structures,-10.9,1,1.7,-1.2,-0.7,1.3,4.5,9.7,10.6,12.5,10.5,9.7,7.6,3.6,1.9,1
11,Equipment,3.5,19.2,4.7,1,3.5,1.7,6.2,6.1,2.4,5.2,3.2,3.1,3,2.4,5.3,2.8
12,Intellectual property products,5.3,11.5,11.7,12.3,11.8,11.5,11.4,10.3,8.2,6.1,4.8,4.1,4.9,4,4.1,2.6
13,Residential,15.2,22.9,7.3,0.6,-2.6,-4.7,-10.6,-16.4,-16.4,-12.8,-4.5,2.5,7,5.1,2.1,2.8
14,Change in private inventories,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....
15,Net exports of goods and services,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....
16,Exports,-5.8,20.4,7.3,7,5.7,8,11.5,5,6.8,2.4,0.2,2,2,3.5,4.6,3
17,Goods,-3.5,27.4,5.8,5.6,3.3,5.7,11.4,3.4,7.4,1.7,-1.2,1.5,0.1,3.3,4,1.4
18,Services,-10.2,8.3,10.4,10,10.9,13.3,11.6,8.6,5.6,3.7,3.1,2.9,5.7,3.8,5.9,6
19,Imports,5.9,30.3,13.9,11.4,12.6,12,8.2,2,-1.3,-3.5,-1,1.2,2.9,5.6,7.1,5.5
20,Goods,10,31.6,10.8,8.7,10.1,9.5,6.9,0.8,-2.3,-4.3,-1,0.4,2,5.4,6.8,5
21,Services,-11.6,24.1,31,25.7,26.4,25.1,14.3,8,3.6,0.1,-1.2,4.2,6.7,6.5,8.7,7.7
22,Government consumption expenditures and gross investment,1.5,-1.7,-0.6,-0.3,-2.4,-1.7,-0.9,0.5,2.6,3.7,4.8,4.3,3.5,3.5,3.4,3.2
23,Federal,8.2,-1.3,0,0.7,-5.3,-4.2,-2.4,-1,2.4,2.9,4.4,2.1,0.8,2.2,3.1,4.2
24,National defense,1.5,0.2,-0.9,-4.8,-5.6,-4.5,-4.1,-1.4,2.8,2.5,5,2.7,0.9,2.2,3.9,5.5
25,Nondefense,18.2,-3.2,1.2,8.8,-4.9,-3.7,-0.1,-0.5,1.8,3.5,3.6,1.2,0.8,2.1,1.9,2.4
26,State and local,-2.4,-2,-0.9,-0.9,-0.5,-0.1,0,1.4,2.7,4.2,5,5.7,5.1,4.3,3.6,2.7
27,Gross domestic income (GDI) 1,1.7,12.9,7.2,5.1,4.5,3,2.9,1,1,1.6,1.3,2.9,3.2,3.2,2.9,2.7
28,Average of GDP and GDI,1.8,12.6,6.1,5.4,4.2,2.8,2.6,1.1,1.6,2.2,2.3,3.1,3.1,3.1,2.8,2.6
29,Final sales of domestic product,1.7,11.5,5.4,5,2.8,1.2,2,1.7,3.2,3.3,3.2,3.6,2.9,2.7,2.8,2.7
30,Gross domestic purchases,3.1,13.6,5.9,6.4,5,3.2,2.2,1,1.3,1.9,3,3.1,3,3.3,3.1,2.9
31,Final sales to domestic purchasers,3.1,12.9,6.3,5.6,3.8,2,1.9,1.4,2.2,2.4,2.9,3.5,3,3,3.2,3
32,Final sales to private domestic purchasers,3.4,16.4,7.8,6.9,5.1,2.8,2.5,1.6,2.1,2.1,2.5,3.3,2.9,2.9,3.1,3
33,Gross national product,1.3,11.9,4.6,5.5,3.7,2.5,2.4,1.2,2.2,2.6,2.9,3,2.8,2.9,2.4,2.5
34,Real disposable personal income,16.3,-2.4,0,1,-12.5,-5.5,-2.9,-0.8,4.8,6.1,4.8,4.6,3.4,2.8,2.5,2.2
