company,date,valuation_usd,employees,accession_or_source,revenue_per_employee,tech_sector,acquirer
WhatsApp,2014-02-19,19000000000,55,0001326801-14-000010,345454545,messaging,Meta
Oculus,2014-03-25,2000000000,75,0001326801-14-000023,26666666,vr,Meta
Instagram,2012-04-09,1000000000,13,0001326801-12-000024,76923076,social,Meta
Figma,2022-09-15,20000000000,850,0000796343-22-000103,23529411,design,Adobe
GitHub,2018-06-04,7500000000,1000,0001193125-18-179422,7500000,devtools,Microsoft
Skype,2011-05-10,8500000000,700,0001193125-11-147047,12142857,voip,Microsoft
npm,2020-03-16,NA,50,0001193125-20-077853,NA,devtools,Microsoft
Heroku,2010-12-08,212000000,30,0001193125-10-269083,7066666,cloud,Salesforce
DeepMind,2014-01-26,500000000,90,0001288776-14-000004,5555555,ai,Google
YouTube,2006-10-09,1650000000,65,press release,25384615,video,Google
Stripe,2021-03-14,95000000000,4000,press release,23750000,fintech,Private
OpenAI,2023-01-10,29000000000,375,bloomberg,77333333,ai,Microsoft
Discord,2021-03-23,10000000000,550,bloomberg,18181818,social,Private
Scale AI,2021-04-13,7300000000,450,techcrunch,16222222,ai,Private
LinkedIn,2016-06-13,26200000000,10000,0001193125-16-636510,2620000,professional,Microsoft
Minecraft,2014-09-15,2500000000,70,0001193125-14-366878,35714285,gaming,Microsoft
Twitch,2014-08-25,970000000,150,0001193125-14-383437,6466666,streaming,Amazon
Zoom,2019-04-18,15900000000,2500,press release,6360000,communication,Public
Snowflake,2020-09-16,33400000000,2000,press release,16700000,cloud,Public
Roblox,2021-03-10,29500000000,1050,press release,28095238,gaming,Public
